name,region,id,day,hr,min,discount_ratio,openhoursdisplay,cuisine,isopen_correct,memberrestaurant,database_index
"Pampas",1,1,1,6,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,1
"Pampas",1,1,1,6,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,2
"Pampas",1,1,1,7,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,3
"Pampas",1,1,1,7,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,4
"Pampas",1,1,1,8,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,5
"Pampas",1,1,1,8,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,6
"Pampas",1,1,1,9,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,7
"Pampas",1,1,1,9,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,8
"Pampas",1,1,1,10,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,9
"Pampas",1,1,1,10,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,10
"Pampas",1,1,1,11,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,11
"Pampas",1,1,1,11,30,.5483108,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",1,1,12
"Pampas",1,1,1,12,0,.5472973,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",1,1,13
"Pampas",1,1,1,12,30,.5447635,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",1,1,14
"Pampas",1,1,1,13,0,.5518581,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",1,1,15
"Pampas",1,1,1,13,30,.54375,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",1,1,16
"Pampas",1,1,1,14,0,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,17
"Pampas",1,1,1,14,30,,"11:30 AM - 2:00 PM & 5:00 - 9:30 PM","Brazil",0,1,18
